name,collaborative,pid,modified_at,num_tracks,num_albums,num_followers,num_edits,duration_ms,num_artists,description
Throwbacks,false,0,1493424000,52,47,1,6,11532414,37,
Awesome Playlist,false,1,1506556800,39,23,1,5,11656470,21,
korean ,false,2,1505692800,64,51,1,18,14039958,31,
mat,false,3,1501027200,126,107,1,4,28926058,86,
90s,false,4,1401667200,17,16,2,7,4335282,16,
Wedding,false,5,1430956800,80,71,1,3,19156557,56,
I Put A Spell On You,false,6,1477094400,16,15,1,2,3408479,13,
2017,false,7,1509321600,53,52,1,38,12674796,48,
BOP,false,8,1508976000,46,37,2,21,9948921,23,
old country ,false,9,1501804800,21,20,1,10,4297488,18,
abby ,false,10,1509321600,72,60,2,36,16403398,40,
VIBE,false,11,1365379200,134,117,1,16,35655891,99,
relax,false,12,1481587200,9,9,1,3,1981349,9,
sleep,false,13,1509062400,13,13,1,5,3039124,12,
90's ,false,14,1382572800,103,79,1,3,25837498,61,
New Songs,false,15,1432684800,7,5,1,3,1818256,3,
slow hands,false,16,1491696000,105,94,1,45,24695913,81,
Mom's playlist,false,17,1465430400,79,69,1,11,17627215,61,
SARAH,false,18,1507334400,68,66,1,18,15917464,55,
melancholy,false,19,1430956800,85,82,1,54,21627256,70,
mixtape,false,20,1509494400,14,9,3,11,2165531,6,
Sad Songs,false,21,1479081600,15,15,1,8,3709224,15,
fall '17,false,22,1509408000,42,39,2,15,9077152,37,
✔️,false,23,1506470400,20,16,1,4,5843925,7,
Twenty one pilots,false,24,1475971200,7,5,1,4,1693822,3,
run it,false,25,1488412800,41,38,2,8,9067261,31,
Winter 2014,false,26,1425427200,26,20,1,7,6442086,15,
smooth ,false,27,1508803200,12,11,1,5,2902584,8,
Yeet,false,28,1509062400,81,57,7,26,18831207,37,
groovy,false,29,1506384000,40,39,1,16,8059613,39,
Garage Rock,false,30,1430265600,157,17,1,6,34463029,9,
Running 2.0,false,31,1495324800,97,94,1,34,20594090,83,
acoustic,false,32,1502928000,106,85,1,9,24656509,72,
morning,false,33,1431302400,17,14,1,7,4295055,11,
good good,false,34,1481328000,80,72,1,39,18149784,65,
Good Vibes,false,35,1507593600,70,58,1,56,15247117,52,
 indie rock,false,36,1384732800,9,9,1,3,1895637,5,
Hits,false,37,1456790400,72,69,1,7,16626596,55,
tb,false,38,1503446400,53,51,1,16,12636678,42,
Country,false,39,1479600000,58,34,1,14,12611044,17,
2020,false,40,1490659200,85,80,6,27,18672695,71,
Belters,false,41,1496448000,209,105,1,13,49193451,55,
Road Trippin',false,42,1490572800,158,131,2,51,33759110,106,
Country,false,43,1398124800,21,9,1,5,4581750,9,
taylor swift,false,44,1430611200,33,29,3,18,6837317,21,
angst,false,45,1498521600,76,69,1,5,18755470,54,
Running 2,false,46,1434412800,11,11,1,2,2724593,8,
Spring 2016,false,47,1465084800,15,15,1,15,3857335,14,
Country,false,48,1498176000,32,20,1,12,7163190,13,
Gospel,false,49,1508544000,45,37,1,22,15097154,23,
SB,false,50,1430352000,55,40,1,3,11777971,31,
Kevin,false,51,1489881600,54,36,1,21,12833397,25,
Christmas,false,52,1508976000,15,14,5,2,2647155,10,
NB,false,53,1504656000,105,93,4,8,25223598,75,
